"wikidata_uri","label","birth_year","gender"
http://www.wikidata.org/entity/Q101439300,Ali Gheissari,1954,male
http://www.wikidata.org/entity/Q101440467,Audrey Célestine,1980,female
http://www.wikidata.org/entity/Q101472481,Peter Schmidt,1942,male
http://www.wikidata.org/entity/Q101497865,Colette Bernier,1948,female
http://www.wikidata.org/entity/Q101538600,Claude Beauchamp,1939,male
http://www.wikidata.org/entity/Q101538676,Jan Jaroslawski,1925,male
http://www.wikidata.org/entity/Q101545698,Joost van Loon,1967,male
http://www.wikidata.org/entity/Q101552633,Robert Schmidt,1964,male
http://www.wikidata.org/entity/Q101561244,Jocelyn Raude,1975,male
http://www.wikidata.org/entity/Q101620138,Jean Saglio,1947,male
http://www.wikidata.org/entity/Q101624416,Claude Frère-Michelat,1931,male
http://www.wikidata.org/entity/Q1016356,Burkart Lutz,1925,male
http://www.wikidata.org/entity/Q1016499,Burkhard Spinnen,1956,male
http://www.wikidata.org/entity/Q101657491,Nancy Wang Yuen,1976,female
http://www.wikidata.org/entity/Q101691603,Merav Nakar-Sadi,1970,female
http://www.wikidata.org/entity/Q101842,Horst Herrmann,1940,male
http://www.wikidata.org/entity/Q101850967,Mauro Valeri,1960,male
http://www.wikidata.org/entity/Q101856469,Marian Lens,1959,female
http://www.wikidata.org/entity/Q101988,Helmut Reichelt,1939,male
http://www.wikidata.org/entity/Q102017,Leopold Schwarzschild,1891,male
http://www.wikidata.org/entity/Q102020306,Helen Mayer Hacker,1917,female
http://www.wikidata.org/entity/Q102029577,Khairi Al Oraidi,1947,male
http://www.wikidata.org/entity/Q102032653,Elena Lasida,1959,female
http://www.wikidata.org/entity/Q102077647,Jan Szymczyk,1963,male
http://www.wikidata.org/entity/Q102077797,Robert W. Hodge,1937,male
http://www.wikidata.org/entity/Q102086,Karl Heinz Roth,1942,male
http://www.wikidata.org/entity/Q102104647,Gabriel Quijandría,1969,male
http://www.wikidata.org/entity/Q102106,Stephan Moebius,1973,male
http://www.wikidata.org/entity/Q102109299,Anssi Peräkylä,1957,male
http://www.wikidata.org/entity/Q102121497,Ieva Zake,1973,female
http://www.wikidata.org/entity/Q102130613,Ira Cisin,1919,male
http://www.wikidata.org/entity/Q102157353,Jürgen von Troschke,1941,male
http://www.wikidata.org/entity/Q102181,Bernhard Ebbinghaus,1961,male
http://www.wikidata.org/entity/Q102188715,Julien Fontaine,1839,male
http://www.wikidata.org/entity/Q102200516,Antigone Mouchtouris,1951,female
http://www.wikidata.org/entity/Q102202622,Pascal Gielen,1970,male
http://www.wikidata.org/entity/Q102209447,Steven Kirk Thompson,1945,male
http://www.wikidata.org/entity/Q102216,Joachim Fischer,1951,male
http://www.wikidata.org/entity/Q102221913,Charles H. Proctor,1928,male
http://www.wikidata.org/entity/Q102237643,Felix Keller,1964,male
http://www.wikidata.org/entity/Q102238481,Martin Osterland,1937,male
http://www.wikidata.org/entity/Q102238494,Hannes Friedrich,1940,male
http://www.wikidata.org/entity/Q1022431,Erol Yıldız,1960,male
http://www.wikidata.org/entity/Q102243305,Enrique Gastón Sanz,1939,male
http://www.wikidata.org/entity/Q102246720,Masayuki Itō,1964,male
http://www.wikidata.org/entity/Q102261070,Werner Raub,1953,male
http://www.wikidata.org/entity/Q102267568,Barbara Schneider,1946,female
http://www.wikidata.org/entity/Q102277,Dankwart Danckwerts,1933,male
http://www.wikidata.org/entity/Q102317676,Gerlinde Malli,1975,female
http://www.wikidata.org/entity/Q102326141,Paola Tubaro,1972,female
http://www.wikidata.org/entity/Q102341342,María Isabel Remy,1954,female
http://www.wikidata.org/entity/Q102352343,Pratiksha Baxi,1970,female
http://www.wikidata.org/entity/Q102355281,Mark Trappmann,1970,male
http://www.wikidata.org/entity/Q102367218,Amada Armenta,1982,female
http://www.wikidata.org/entity/Q102410701,Lising Pagenstecher,1930,female
http://www.wikidata.org/entity/Q102434,Herman Schmalenbach,1885,male
http://www.wikidata.org/entity/Q102440440,Michael Keith,1960,male
http://www.wikidata.org/entity/Q102476,Rauf Ceylan,1976,male
http://www.wikidata.org/entity/Q102495,Erich Kahler,1885,male
http://www.wikidata.org/entity/Q102500016,Tilman Reitz,1974,male
http://www.wikidata.org/entity/Q102626373,Leonard Marion Logan,1891,male
http://www.wikidata.org/entity/Q10263971,Daniel Lins,1943,male
http://www.wikidata.org/entity/Q10267663,Djacir Menezes,1907,male
http://www.wikidata.org/entity/Q10268271,Donald Pierson,1900,male
http://www.wikidata.org/entity/Q10270660,Eduardo Diatahy Bezerra de Menezes,1935,male
http://www.wikidata.org/entity/Q102738459,Viktor Vakhstayn,1981,male
