"pk_geograhical_place_type","type","definition"
1,Country,"A country is an area of land, which has its own government and laws, or used to have them[1], such as a state, a nation, a nation state, or other political entity. When referring to a specific polity, the term ""country"" may refer to a sovereign state, a state with limited recognition, a constituent country, or a dependent territory."
2,City,"A city is a human settlement of a substantial size. The term ""city"" has different meanings around the world and in some places the settlement can be very small. Even where the term is limited to larger settlements, there is no universally agreed definition of the lower boundary for their size."
