person_uri,year,gender_label,gender_uri
http://www.wikidata.org/entity/Q100987652,1959,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101007209,1914,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101007799,1978,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101048388,1932,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101052944,1941,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101064596,1927,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101064800,1907,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101094878,1991,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101102856,1949,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101115119,1966,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101149176,1956,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101175344,1932,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101235,1953,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101236098,1969,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101242607,1948,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101246978,1933,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101251151,1992,non-binary,http://www.wikidata.org/entity/Q48270
http://www.wikidata.org/entity/Q101251475,1960,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101349,1866,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101423194,1980,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101439300,1954,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101440467,1980,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101472481,1942,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101497865,1948,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101538600,1939,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101538676,1925,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101545698,1967,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101552633,1964,male,http://www.wikidata.org/entity/Q6581097
